BC;British Columbia
AB;Alberta
SK;Saskatchewan
MB;Manitoba
ON;Ontario
QC;Quebec
NS;Nova Scotia
NB;New Brunswick
NL;Newfoundland & Labrador YT - Yukon
NWT;Northwest territories PC - Parks Canada
PC-BA;Banff (National Park)
PC-BP;Bruce Peninsula (National Park)
PC-BT;Batoche (National Park)
PC-CB;Cape Breton (National Park)
PC-CH;Cypress Hills (National Park)
PC-CT;Chilkoot Trail (National Park)
PC-EI;Elk Island (National Park)
PC-FO;Forillon (National Park)
PC-FR;Fort Rodd NHS (National Park)
PC-FU;Fundy (National Park)
PC-FW;Fort Walsh (National Park)
PC-GB;Georgian Bay Is. (National Park)
PC-GF;Gulf Islands (National Park)
PC-GH;Gwaii Haanas (National Park)
PC-GI;Grosse-ile (National Park)
PC-GL;Glacier (National Park)
PC-GM;Gros Morne (National Park)
PC-GR;Grasslands (National Park)
PC-JA;Jasper (National Park)
PC-KE;Kejimkujik (National Park)
PC-KG;Kouchibouguac (National Park)
PC-KL;Kluane (National Park)
PC-KO;Kootenay (National Park)
PC-LL;Lake Louise (National Park)
PC-LM;La Mauricie (National Park)
PC-LO;Louisbourg (National Park)
PC-MI;Mingan (National Park)
PC-NA;Nahanni (National Park)
PC-PA;Prince Albert (National Park)
PC-PE;Prince Edward Island (National Park) PC-PP - Point Pelee (National Park)
PC-PR;Pacific Rim (National Park)
PC-PU;Pukaskwa (National Park)
PC-RE;Mount Revelstoke (National Park) PC-RM - Riding Mountain (National Park)
PC-RO;Rocky Mountain House (National Park)
PC-SL;St. Lawrence Islands (National Park)
PC-SY;Saoyú-?ehdacho (National Historic site)
PC-TI;Thousand Islands (National Park)
PC-TN;Terra Nova (National Park)
PC-VU;Vuntut (National Park)
PC-WB;Wood Buffalo (National Park)
PC-WL;Waterton Lakes (National Park)
PC-WP;Wapusk (National Park)
PC-YO;Yoho (National Park)
